horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.0039974188896,-0.0014400035356,-0.00306505008584,0.000211560943283,0.00235571605113,-0.000881804121759,0.000156124600345,0.000224241185236,0.000477297761473
1,-0.00065734163522,-0.000944137356068,-0.00200959804105,-0.000189114874833,-0.000271624994298,-0.000578154283309,0.000102362989911,0.000147023583287,0.000312939958433
2,-0.00043098560397,-0.000619023026739,-0.00131759161303,-0.000123993041339,-0.000178090746042,-0.000379066469593,6.71142259477e-05,9.63959141575e-05,0.000205178874675
3,-0.000282575423306,-0.000405862033919,-0.000863878060814,-8.12959547157e-05,-0.000116765078662,-0.000248534677539,4.40033974044e-05,6.32019167164e-05,0.000134525392103
4,-0.000185270387505,-0.000266103171387,-0.000566401073426,-5.33016383965e-05,-7.65569458154e-05,-0.000162951595285,2.885079811e-05,4.14382944706e-05,8.82014834575e-05
5,-0.000121472405791,-0.00017447036654,-0.000371360485386,-3.49471836044e-05,-5.0194510377e-05,-0.000106839104583,1.8916006506e-05,2.71689900852e-05,5.78292437025e-05
6,-7.96433017026e-05,-0.00011439137926,-0.000243482254142,-2.29130975824e-05,-3.29099971943e-05,-7.00489875417e-05,1.24022670281e-05,1.78133301981e-05,3.79157049985e-05
7,-5.22180775525e-05,-7.50006313884e-05,-0.00015963897726,-1.5022957122e-05,-2.15774176737e-05,-4.59275718828e-05,8.13153809115e-06,1.16792980435e-05,2.48594066512e-05
8,-3.4236747661e-05,-4.91741138628e-05,-0.000104667188788,-9.84979180035e-06,-1.41472194821e-05,-3.01123818213e-05,5.33143751688e-06,7.65752395942e-06,1.62990533626e-05
9,-2.24473007308e-05,-3.22409749015e-05,-6.86249724018e-05,-6.45800941337e-06,-9.27561500187e-06,-1.97431630234e-05,3.49555344607e-06,5.02065046809e-06,1.0686463448e-05
10,-1.47175577274e-05,-2.11387736543e-05,-4.49939173077e-05,-4.23418955735e-06,-6.08155077904e-06,-1.29445916461e-05,2.29185728158e-06,3.29178612517e-06,7.00657262017e-06
11,-9.64955689131e-06,-1.38596228239e-05,-2.95002318229e-05,-2.77614355447e-06,-3.98736470527e-06,-8.48711286465e-06,1.5026546955e-06,2.15825737376e-06,4.59385465741e-06
12,-6.32672552903e-06,-9.08705244503e-06,-1.93418072859e-05,-1.82017666678e-06,-2.6143130051e-06,-5.56456987956e-06,9.85214547201e-07,1.4150600052e-06,3.01195773703e-06
13,-4.1481133663e-06,-5.95791986463e-06,-1.2681443025e-05,-1.19339761553e-06,-1.7140725752e-06,-3.64840652391e-06,6.45955259662e-07,9.27783147025e-07,1.97478807803e-06
14,-2.71970775731e-06,-3.90630617883e-06,-8.314579647e-06,-7.8245034933e-07,-1.12383053878e-06,-2.39207529995e-06,4.23520134442e-07,6.08300400506e-07,1.29476848403e-06
15,-1.78317457407e-06,-2.56116703639e-06,-5.45144859068e-06,-5.13013048792e-07,-7.36838741932e-07,-1.56836257229e-06,2.77680693198e-07,3.98831751194e-07,8.48914091533e-07
16,-1.16913721817e-06,-1.67922745633e-06,-3.57423862643e-06,-3.36356662703e-07,-4.83107828874e-07,-1.02829587272e-06,1.8206116098e-07,2.61493771215e-07,5.56589956964e-07
17,-7.66544036009e-07,-1.10098435987e-06,-2.34344716751e-06,-2.20532021185e-07,-3.16749325243e-07,-6.74201501955e-07,1.19368278564e-07,1.71448216396e-07,3.64927833432e-07
18,-5.0258408509e-07,-7.21859659992e-07,-1.53647956975e-06,-1.44591672355e-07,-2.07676483479e-07,-4.42039764331e-07,7.82637320914e-08,1.12409908538e-07,2.39264690186e-07
19,-3.29518919619e-07,-4.73286803808e-07,-1.0073918034e-06,-9.48014333796e-08,-1.36162947647e-07,-2.89823076162e-07,5.13135636586e-08,7.37014814326e-08,1.5687373427e-07
