variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00596412734947,3.55708150407e-05,0.283495759538
pi,0,0.00259769541342,6.7480214609e-06,0.0219063005294
i,0.00741707177773,0.000747699431458,5.59054439803e-07,0.650743986899
