horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00401488727748,-0.00161419738222,-0.00286318499841,0.000221756584288,0.00231407269037,-0.000808701740988,0.000162991312254,0.000267076186867,0.000473726782171
1,-0.000641056180597,-0.00105042924015,-0.00186320042109,-0.000181065229669,-0.000296691955207,-0.000526257795143,0.000106065616366,0.000173798222648,0.000308274854931
2,-0.000417163454788,-0.000683560511691,-0.00121246647041,-0.000117827109443,-0.000193070505812,-0.000342459095748,6.90215620668e-05,0.000113098148322,0.000200608008158
3,-0.000271466609757,-0.000444822892665,-0.000789005264938,-7.6675282964e-05,-0.000125639470705,-0.000222853197317,4.49153664813e-05,7.35979399498e-05,0.000130544455033
4,-0.000176655263944,-0.000289465822636,-0.00051344043179,-4.98959793326e-05,-8.17591300783e-05,-0.000145020378115,2.92284046571e-05,4.78934168705e-05,8.49510191356e-05
5,-0.000114957350765,-0.000188368143493,-0.000334118273618,-3.24695085211e-05,-5.32042622725e-05,-9.43711390363e-05,1.90202085773e-05,3.11663530405e-05,5.52813648834e-05
6,-7.48078047604e-05,-0.000122579436702,-0.00021742545747,-2.11293374277e-05,-3.46223537512e-05,-6.14114512647e-05,1.23772863612e-05,2.02813168347e-05,3.59740157855e-05
7,-4.86807291209e-05,-7.97678313511e-05,-0.000141488309047,-1.37497892782e-05,-2.25302885159e-05,-3.99631326372e-05,8.05444467369e-06,1.31979449766e-05,2.3409874457e-05
8,-3.16786917533e-05,-5.19084365997e-05,-9.20726663292e-05,-8.94759269394e-06,-1.46614497748e-05,-2.60057682613e-05,5.24138143921e-06,8.58848333293e-06,1.5233835037e-05
9,-2.06147181713e-05,-3.37791029866e-05,-5.99157339715e-05,-5.8225921428e-06,-9.54085028019e-06,-1.69230973207e-05,3.41079745461e-06,5.58890388549e-06,9.91332654771e-06
10,-1.34149038916e-05,-2.19815481514e-05,-3.89898036026e-05,-3.78901682509e-06,-6.20865094974e-06,-1.10126038212e-05,2.21955593412e-06,3.63694559684e-06,6.45103764109e-06
11,-8.72966804228e-06,-1.43043602822e-05,-2.53723802447e-05,-2.46567991519e-06,-4.0402422723e-06,-7.16638571674e-06,1.44436267771e-06,2.36672047782e-06,4.1979739542e-06
12,-5.68077898614e-06,-9.3084764401e-06,-1.65109238776e-05,-1.60452637843e-06,-2.62916336431e-06,-4.66348241296e-06,9.39910327424e-07,1.54012911961e-06,2.73180630785e-06
13,-3.69673276613e-06,-6.05743507059e-06,-1.07443844315e-05,-1.04413589258e-06,-1.7109122499e-06,-3.03473313825e-06,6.11640993796e-07,1.00222976364e-06,1.77770652821e-06
14,-2.40562661873e-06,-3.94183944821e-06,-6.99184356172e-06,-6.79465153603e-07,-1.11336585874e-06,-1.97483434156e-06,3.98021698853e-07,6.52194992177e-07,1.1568318337e-06
15,-1.56544705686e-06,-2.56512831825e-06,-4.54990015513e-06,-4.42157863015e-07,-7.24516137791e-07,-1.28511157289e-06,2.59010227184e-07,4.24411969445e-07,7.52801359635e-07
16,-1.01870525906e-06,-1.66924182872e-06,-2.96082016694e-06,-2.87731570617e-07,-4.71474520079e-07,-8.36278628552e-07,1.68549347885e-07,2.76183537084e-07,4.89880958112e-07
17,-6.62916321758e-07,-1.08624908272e-06,-1.92673591993e-06,-1.8723958942e-07,-3.06809208917e-07,-5.44203288903e-07,1.09682474632e-07,1.79724776038e-07,3.18787087788e-07
18,-4.31388810201e-07,-7.06870058856e-07,-1.25381181423e-06,-1.21845036924e-07,-1.99654247828e-07,-3.54137017904e-07,7.13752108354e-08,1.16954817304e-07,2.07448780479e-07
19,-2.80723674254e-07,-4.5999144032e-07,-8.15910498816e-07,-7.92899251121e-08,-1.29923801233e-07,-2.30452534939e-07,4.64469892643e-08,7.61076440993e-08,1.34996046486e-07
