variable,mean,std_dev,variance,autocorrelation_1
x,0,0.0060206713856,3.62484839334e-05,0.292544459441
pi,0,0.00263917926469,6.96526719115e-06,0.0357584101205
i,0.00741707177773,0.000736679909522,5.42697289093e-07,0.65375335504
