horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00400557021934,-0.0015170098364,-0.00297404038659,0.000216734997031,0.00233787718533,-0.000847160428341,0.000159132529145,0.000242757826345,0.000475917533548
1,-0.000650111805455,-0.000991750270177,-0.00194428888076,-0.000185185446056,-0.000282501739882,-0.000553833972285,0.000104033424824,0.000158703743435,0.000311132684279
2,-0.000425012773967,-0.00064836006649,-0.00127108537896,-0.000121065606664,-0.000184686460252,-0.000362070817516,6.80122005152e-05,0.000103753104728,0.00020340403621
3,-0.000277853526916,-0.000423867568741,-0.000830976331037,-7.91470465363e-05,-0.00012073939302,-0.000236705011713,4.44632042705e-05,6.78289403117e-05,0.000132976071101
4,-0.000181647675431,-0.000277104845157,-0.000543253564374,-5.17426472146e-05,-7.89337832725e-05,-0.000154746695562,2.90679689676e-05,4.43433972976e-05,8.69335526222e-05
5,-0.000118752777248,-0.000181158222219,-0.000355153840347,-3.38269292151e-05,-5.16032256404e-05,-0.000101166171405,1.90032822368e-05,2.89896447571e-05,5.68331016923e-05
6,-7.76350265462e-05,-0.000118432795569,-0.000232183014682,-2.21144684651e-05,-3.37357818933e-05,-6.61377239725e-05,1.24234595191e-05,1.89520775214e-05,3.71548309086e-05
7,-5.07541590731e-05,-7.74258374498e-05,-0.000151790424831,-1.4457407954e-05,-2.20548805976e-05,-4.32377589417e-05,8.12187834178e-06,1.23899842646e-05,2.42900953625e-05
8,-3.31807017763e-05,-5.06174009996e-05,-9.92334994964e-05,-9.45157895508e-06,-1.44184521857e-05,-2.82668299725e-05,5.30970521516e-06,8.09999378185e-06,1.58797313374e-05
9,-2.16919951088e-05,-3.30912957269e-05,-6.48742332281e-05,-6.17900145231e-06,-9.42611149087e-06,-1.84795349309e-05,3.47123759868e-06,5.29539811069e-06,1.0381427639e-05
10,-1.41812145799e-05,-2.1633545604e-05,-4.24117476285e-05,-4.03954293024e-06,-6.16235201213e-06,-1.20810579606e-05,2.26933322628e-06,3.46188428113e-06,6.78689314908e-06
11,-9.27101661014e-06,-1.414300302e-05,-2.77268223052e-05,-2.64086474347e-06,-4.02865830287e-06,-7.89803217419e-06,1.48358421038e-06,2.26321846355e-06,4.43695416651e-06
12,-6.06095821351e-06,-9.24603567469e-06,-1.81265031066e-05,-1.72647418625e-06,-2.63374888181e-06,-5.16336503209e-06,9.69898155022e-07,1.47958666373e-06,2.90067367251e-06
13,-3.96237176684e-06,-6.04462684315e-06,-1.18502622211e-05,-1.12868829165e-06,-1.72182216781e-06,-3.37556721302e-06,6.34074172892e-07,9.67284745487e-07,1.89632514528e-06
14,-2.59041383648e-06,-3.95169507867e-06,-7.74714868514e-06,-7.3788375746e-07,-1.12564701899e-06,-2.20678839068e-06,4.14528117872e-07,6.32365647641e-07,1.23972892597e-06
15,-1.69349173654e-06,-2.58343391577e-06,-5.0647244449e-06,-4.82393982069e-07,-7.35895515255e-07,-1.44269531427e-06,2.70999147818e-07,4.13411163757e-07,8.10476944694e-07
16,-1.1071259045e-06,-1.68892858996e-06,-3.31108059821e-06,-3.15366684228e-07,-4.81094162056e-07,-9.43166902002e-07,1.77166602098e-07,2.70268935317e-07,5.29852021776e-07
17,-7.23787274515e-07,-1.10414273211e-06,-2.16463004988e-06,-2.06172027882e-07,-3.14516922534e-07,-6.16598526546e-07,1.15823260522e-07,1.76689223226e-07,3.46392536911e-07
18,-4.73178359049e-07,-7.21837015559e-07,-1.41513415753e-06,-1.34785654943e-07,-2.05616493324e-07,-4.03103355442e-07,7.57198451587e-08,1.15511172484e-07,2.26455283166e-07
19,-3.09341939761e-07,-4.71903370713e-07,-9.25148703317e-07,-8.81165741304e-08,-1.34422472362e-07,-2.63530171048e-07,4.95021028153e-08,7.55158165557e-08,1.48045901136e-07
