variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00599070781376,3.58885801098e-05,0.287807539633
pi,0,0.00261784032002,6.85308794113e-06,0.0286586840692
i,0.00741707177773,0.00074204364289,5.50628767953e-07,0.652236401606
