horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.0040104582863,-0.00156630316968,-0.00291714419634,0.000219331230741,0.0023257414338,-0.000827404504534,0.000161064199012,0.000254941617864,0.000474813226043
1,-0.000645415126582,-0.00102159994322,-0.00190266763359,-0.000183062388105,-0.0002897616086,-0.00053966333671,0.000105051933591,0.000166282203455,0.000309690469989
2,-0.000420963239704,-0.000666324670845,-0.00124098909078,-0.000119399953287,-0.000188993068917,-0.000351988072815,6.85186951471e-05,0.000108455306033,0.000201991397758
3,-0.000274567548673,-0.000434601205614,-0.000809418259006,-7.78769958837e-05,-0.000123268159199,-0.000229579434021,4.46903871655e-05,7.0738498542e-05,0.000131746142429
4,-0.000179082949944,-0.000283462726483,-0.000527932052649,-5.07942115631e-05,-8.03999805885e-05,-0.000149740063929,2.91486973112e-05,4.61382237441e-05,8.59296298633e-05
5,-0.000116804418861,-0.000184884708711,-0.000344336502312,-3.31298337724e-05,-5.24397940283e-05,-9.76659204731e-05,1.90118414458e-05,3.00930290313e-05,5.60464325734e-05
6,-7.61840938494e-05,-0.000120588537122,-0.00022458880121,-2.16084835655e-05,-3.4203142558e-05,-6.3701268529e-05,1.24002150525e-05,1.96277689688e-05,3.65555235046e-05
7,-4.9690039232e-05,-7.86522335272e-05,-0.000146484991542,-1.40938395649e-05,-2.23085346256e-05,-4.15482861631e-05,8.08787164499e-06,1.28019454038e-05,2.38428431095e-05
8,-3.24096523844e-05,-5.12998497741e-05,-9.55428437728e-05,-9.19251520265e-06,-1.45504383493e-05,-2.70993046599e-05,5.27520429839e-06,8.34989480373e-06,1.55511701938e-05
9,-2.11387550485e-05,-3.34596294196e-05,-6.23165206216e-05,-5.99569303749e-06,-9.49032555077e-06,-1.76751529574e-05,3.44068026932e-06,5.44610534058e-06,1.0143039288e-05
10,-1.37874655273e-05,-2.18235882917e-05,-4.06451031709e-05,-3.91060925191e-06,-6.1899357873e-06,-1.15283781628e-05,2.24413691794e-06,3.55214815011e-06,6.61565944653e-06
11,-8.99268690277e-06,-1.42341386975e-05,-2.65102158351e-05,-2.55064170655e-06,-4.03730144409e-06,-7.51922788925e-06,1.46370778807e-06,2.3168403274e-06,4.31497391166e-06
12,-5.86535774624e-06,-9.28402340404e-06,-1.72909277821e-05,-1.66362136847e-06,-2.63327496609e-06,-4.90431414135e-06,9.54683500692e-07,1.51112759824e-06,2.81438305716e-06
13,-3.82559983054e-06,-6.05537801748e-06,-1.1277772517e-05,-1.08507441501e-06,-1.71751778832e-06,-3.1987722079e-06,6.22679331165e-07,9.85612427043e-07,1.83564307795e-06
14,-2.49519546746e-06,-3.94953796849e-06,-7.35577376464e-06,-7.07725031918e-07,-1.12022762195e-06,-2.08635567444e-06,4.06134126313e-07,6.42852302793e-07,1.19727323579e-06
15,-1.627457313e-06,-2.57603243257e-06,-4.79770341128e-06,-4.61604028145e-07,-7.30653233121e-07,-1.36079711757e-06,2.64895461117e-07,4.19291672738e-07,7.80905187053e-07
16,-1.0614869016e-06,-1.68018212424e-06,-3.12923680895e-06,-3.01074950284e-07,-4.76558635593e-07,-8.87561415278e-07,1.7277446236e-07,2.7347729185e-07,5.09334789199e-07
17,-6.92340397051e-07,-1.09587594276e-06,-2.04100215604e-06,-1.96372042187e-07,-3.10828889634e-07,-5.78899863705e-07,1.12689793619e-07,1.78371844757e-07,3.3220669012e-07
18,-4.51569609259e-07,-7.14770181513e-07,-1.33121590193e-06,-1.28080994172e-07,-2.0273391649e-07,-3.77579563994e-07,7.3500385488e-08,1.16340610173e-07,2.16677296154e-07
19,-2.94530137018e-07,-4.66199131165e-07,-8.68267469634e-07,-8.35390867531e-08,-1.32230440175e-07,-2.46271136139e-07,4.7939626947e-08,7.58815809397e-08,1.41324819953e-07
