method,c,rho_i,se_rho_i,phi_pi,se_phi_pi,phi_x,se_phi_x,r_squared,observations,first_stage_F_pi,first_stage_F_x,is_synthetic,data_source
OLS_HAC,0.00026392756911158583,0.8953125503352696,0.04442902970314185,0.8333721563760594,0.5703865756054769,0.25137667094346755,0.09345040334533453,0.913545380392526,99,,,False,Banco Central de Chile (BCCh)
IV_2SLS_HAC,-0.0022838400500387445,0.8760575698970156,0.05029434019887828,3.0500558146006056,1.1701670963251967,-0.08628132503954405,0.18160506172654564,0.7262690596521124,99,5.820285492453162,19.940048262682996,False,Banco Central de Chile (BCCh)
