parameter,rhat,effective_sample_size,chains,draws_per_chain_loaded,rhat_pass_1p05
stderr e_x,1.0124617552427195,124.9549013224589,2,7000,True
stderr e_pi,1.0001048844784846,267.70082341512494,2,7000,True
stderr e_i,1.0016769943603265,182.82355878615627,2,7000,True
sigma,1.0005681295560707,91.99349143098968,2,7000,True
kappa,1.0006140445278169,170.09670566149515,2,7000,True
rho_i,1.0050602857598376,253.14835848259398,2,7000,True
phi_pi,1.0020054160849081,223.8652832022773,2,7000,True
phi_x,1.0070348753534875,190.32633504193373,2,7000,True
