date,policy_rate_annual_pct,expected_inflation_annual_pct,real_rate_ex_ante_annual_pct,rstar_filtered_pct,rstar_smoothed_pct,rstar_lower_95_pct,rstar_upper_95_pct,output_gap_pct
2001Q1,4.53515625,2.0113775702766734,2.474016859525885,2.474003486810546,1.6869730860811631,-1.0778947621026873,4.451840934265014,2.05814478347239
2001Q2,3.725806451612903,3.0380046904993963,0.6675223993122925,1.3786891060280366,1.518157562586127,-0.9038834553360551,3.940198580508309,1.82707286053904
2001Q3,5.177966101694915,3.7922140080840494,1.3351214316547066,1.2865708637716318,1.5727049879635238,-0.6980540991949367,3.843464075121984,0.39526590584024
2001Q4,6.5,2.629830525617227,3.7709986020260766,2.2483859751200024,1.7145259206717545,-0.4929411718308345,3.9219930131743435,-0.1822256934016
2002Q1,5.693548387096774,2.4247704549313465,3.191393954457289,2.611117202545487,1.423098237888012,-0.7585872572746792,3.604783733050703,-0.55481758336028
2002Q2,4.331967213114754,2.2885055218951678,1.9977432271529594,2.402060296845571,0.7487570705755984,-1.4225498362867623,2.920063977437959,-0.96014053914732
2002Q3,3.2222222222222223,2.894730551393776,0.31827836962445843,1.6646083763850905,-0.20451315179650909,-2.371662612314612,1.962636308721594,-1.10335048808032
2002Q4,3.0,2.73133942528736,0.2615176402990249,1.184906768802883,-1.2890025736891002,-3.4544899795965893,0.8764848322183889,-0.89996141676209
2003Q1,2.773809523809524,2.9909464136831154,-0.21083104625668758,0.7014513695981733,-2.7280008281708983,-4.892824316456631,-0.5631773398851658,-0.74205354776779
2003Q2,2.75,23.6955866331229,-16.933172155322584,-5.76704207258052,-4.724807724874728,-6.889366092804625,-2.560249356944832,-0.9561521940431901
2003Q3,2.75,10.376387963901701,-6.909437883033343,-6.15503379055675,-4.117721575503083,-6.282174087310259,-1.953269063695907,-1.58026815838301
2003Q4,2.6547619047619047,-0.9129209428754059,3.600553050494626,-2.509509089836738,-2.9308277891504657,-5.0952380373529245,-0.7664175409480065,-2.33355715403682
2004Q1,1.7890625,7.708946685025531,-5.496186126800717,-3.5294529558821575,-3.1762945431849454,-5.340687917771381,-1.0119011685985102,-1.55519337574663
2004Q2,1.75,5.392680921587156,-3.456294013715555,-3.4494689580648537,-2.9705337850982283,-5.1349204229999215,-0.8061471471965351,-0.96548600198165
