rstar_annual,rstar_annual_percent,rstar_quarterly,rstar_quarterly_percent,beta
0.02,2.0,0.0049629315732038215,0.49629315732038215,0.9950615774798433
0.03,3.0,0.007417071777732875,0.7417071777732875,0.9926375361451396
0.04,4.0,0.009853406548968824,0.9853406548968824,0.9902427357425654
