horizon,variable,model,observations,bias,mae,mse,rmse,random_walk_rmse,relative_rmse_vs_random_walk
1,i,AR1,61,0.022485249664615636,0.4566959571979649,0.5570838075493917,0.7463804710396647,0.7272401532923624,1.0263191157152836
1,i,NK,61,0.16815355271122479,0.7069004811883494,1.1402962405294748,1.0678465435302371,0.7272401532923624,1.4683547638230385
1,i,Random walk,61,0.025861231732139014,0.4168611701968603,0.5288782405606987,0.7272401532923624,0.7272401532923624,1.0
1,i,VAR,61,-0.01059137721880016,0.5099559701668561,0.49076222956779647,0.7005442381233297,0.7272401532923624,0.9632914724961557
1,pi,AR1,61,0.5144989688693101,2.3124262919220167,8.69996641451635,2.949570547472352,3.285996048218949,0.8976184098185559
1,pi,NK,61,1.3548063847905483,3.411696408263744,22.487312719666235,4.742078944900246,3.285996048218949,1.4431176651811592
1,pi,Random walk,61,0.07237376393442949,2.6742597967212953,10.797770028910552,3.285996048218949,3.285996048218949,1.0
1,pi,VAR,61,0.7008401884048532,2.8759707310044935,14.86704425886313,3.8557806289859293,3.285996048218949,1.1733978289705522
1,x,AR1,61,0.054206297675268536,1.0200554552189547,4.588401458846904,2.1420554285188103,2.2959873537729742,0.9329561092742044
1,x,NK,61,0.5994462249483528,2.7436338226765216,16.299946106468866,4.037319173222358,2.2959873537729742,1.7584239593427506
1,x,Random walk,61,-0.007203015200488832,1.1488195458754464,5.271557928685424,2.2959873537729742,2.2959873537729742,1.0
1,x,VAR,61,0.26093799522404665,1.4056020819533908,11.031278866929314,3.3213369095786285,2.2959873537729742,1.4465832767417934
4,i,AR1,58,0.030449701816262584,1.5720770740873906,6.014957365685728,2.4525410018357956,2.5336163279594976,0.9680001564447613
4,i,NK,58,0.36885686396132233,1.6672597787359869,6.005920145448078,2.4506978894690543,2.5336163279594976,0.9672726933532104
4,i,Random walk,58,0.045612607433820035,1.5862398906953676,6.419211697302969,2.5336163279594976,2.5336163279594976,1.0
4,i,VAR,58,0.3292365863347532,2.107532697557608,7.341994724440544,2.709611544934171,2.5336163279594976,1.069464036457491
4,pi,AR1,58,0.8187865586073415,2.3822768953871645,11.872001046442655,3.4455770266303225,4.029092141891462,0.8551745418790032
4,pi,NK,58,1.020442479532413,2.4919594680520394,11.422181665913815,3.379671828138616,4.029092141891462,0.8388172097131602
4,pi,Random walk,58,-0.0347179241379256,2.969791799999986,16.233583487851526,4.029092141891462,4.029092141891462,1.0
4,pi,VAR,58,1.5156545292901007,2.885287378767271,16.61905034125136,4.076646948320563,4.029092141891462,1.0118028589951225
4,x,AR1,58,0.1977964756084265,1.8457789163928786,11.340099436103152,3.367506412184415,4.262506685788915,0.7900295906658852
4,x,NK,58,0.3173962869382486,1.805576881938615,8.39597717346907,2.89758126261699,4.262506685788915,0.6797833941885534
4,x,Random walk,58,0.021934643208701716,2.3628885592192574,18.168963246395194,4.262506685788915,4.262506685788915,1.0
4,x,VAR,58,0.7072811935385527,2.2742983480063548,22.17562069892793,4.709099775851849,4.262506685788915,1.1047724081118426
