parameter,type,posterior_mean,posterior_median,posterior_std,hpd90_low,hpd90_high
stderr e_x,shock_std,0.02911138972383477,0.028917762194669655,0.0025130862014140914,0.025238801526918705,0.03355115161978615
stderr e_pi,shock_std,0.009472615946851155,0.009461162049211783,0.0006342416322881141,0.008469764097489542,0.010540466207338298
stderr e_i,shock_std,0.0018522134102142863,0.0018370673242679202,0.00014569505203598936,0.0016353802609828832,0.002120232764294088
sigma,param,3.606087326644057,3.5661368786739374,0.671120038916693,2.5585987632437126,4.73962613650195
kappa,param,0.09473994500806042,0.09051156373268973,0.04223457750324642,0.03422500041467981,0.17109817845136974
rho_i,param,0.8730417401564102,0.8736315658716737,0.018048376648182343,0.8426139446758623,0.9023691262872848
phi_pi,param,1.1679516376414678,1.135173241900149,0.1491908102314395,0.9862484403263476,1.453039457583902
phi_x,param,0.2954625019352511,0.2891287091881134,0.07795560609347654,0.1782166884840911,0.435334382989095
