scenario,source,variable,shock,horizon,response
baseline,dynare,pi,e_i,14,-2.40628599174e-06
baseline,dynare,pi,e_i,15,-1.57870885035e-06
baseline,dynare,pi,e_i,16,-1.03575453738e-06
baseline,dynare,pi,e_i,17,-6.79534710573e-07
baseline,dynare,pi,e_i,18,-4.45827081812e-07
baseline,dynare,pi,e_i,19,-2.92496886155e-07
baseline,dynare,i,e_x,0,0.000156226433192
baseline,dynare,i,e_x,1,0.000102496566736
baseline,dynare,i,e_x,2,6.72456381297e-05
baseline,dynare,i,e_x,3,4.41183152906e-05
baseline,dynare,i,e_x,4,2.89450111295e-05
baseline,dynare,i,e_x,5,1.89901555345e-05
baseline,dynare,i,e_x,6,1.24590039234e-05
baseline,dynare,i,e_x,7,8.17406568793e-06
baseline,dynare,i,e_x,8,5.36281634401e-06
baseline,dynare,i,e_x,9,3.51842035991e-06
baseline,dynare,i,e_x,10,2.30835460976e-06
baseline,dynare,i,e_x,11,1.51445832486e-06
baseline,dynare,i,e_x,12,9.93601246547e-07
baseline,dynare,i,e_x,13,6.51878906758e-07
baseline,dynare,i,e_x,14,4.27682745521e-07
baseline,dynare,i,e_x,15,2.80592804768e-07
baseline,dynare,i,e_x,16,1.84090480413e-07
baseline,dynare,i,e_x,17,1.20777526732e-07
baseline,dynare,i,e_x,18,7.9239355185e-08
baseline,dynare,i,e_x,19,5.19871169741e-08
baseline,dynare,i,e_pi,0,0.000224387447377
baseline,dynare,i,e_pi,1,0.000147215439186
baseline,dynare,i,e_pi,2,9.65846609878e-05
baseline,dynare,i,e_pi,3,6.33669728507e-05
baseline,dynare,i,e_pi,4,4.15736122816e-05
baseline,dynare,i,e_pi,5,2.72754900603e-05
baseline,dynare,i,e_pi,6,1.78948211907e-05
baseline,dynare,i,e_pi,7,1.17403802733e-05
baseline,dynare,i,e_pi,8,7.70259325262e-06
baseline,dynare,i,e_pi,9,5.05349413175e-06
baseline,dynare,i,e_pi,10,3.31548117654e-06
baseline,dynare,i,e_pi,11,2.17521088289e-06
baseline,dynare,i,e_pi,12,1.42710579041e-06
baseline,dynare,i,e_pi,13,9.3629125941e-07
baseline,dynare,i,e_pi,14,6.14279143381e-07
baseline,dynare,i,e_pi,15,4.03014406255e-07
baseline,dynare,i,e_pi,16,2.64408475201e-07
baseline,dynare,i,e_pi,17,1.73472314322e-07
baseline,dynare,i,e_pi,18,1.13811192373e-07
baseline,dynare,i,e_pi,19,7.46689035654e-08
baseline,dynare,i,e_i,0,0.000477609080701
baseline,dynare,i,e_i,1,0.000313348324056
baseline,dynare,i,e_i,2,0.000205580622639
baseline,dynare,i,e_i,3,0.000134876714378
baseline,dynare,i,e_i,4,8.84895076588e-05
baseline,dynare,i,e_i,5,5.80559290889e-05
baseline,dynare,i,e_i,6,3.80891587212e-05
baseline,dynare,i,e_i,7,2.49894202859e-05
baseline,dynare,i,e_i,8,1.63949834333e-05
baseline,dynare,i,e_i,9,1.07563712445e-05
baseline,dynare,i,e_i,10,7.05700757915e-06
baseline,dynare,i,e_i,11,4.62994023172e-06
baseline,dynare,i,e_i,12,3.03759721226e-06
baseline,dynare,i,e_i,13,1.99289761037e-06
baseline,dynare,i,e_i,14,1.30749424887e-06
baseline,dynare,i,e_i,15,8.57816880269e-07
baseline,dynare,i,e_i,16,5.62793909581e-07
baseline,dynare,i,e_i,17,3.69236129466e-07
baseline,dynare,i,e_i,18,2.42247325322e-07
