calibration,variable,shock,initial_pct,target_pct,achieved_pct,difference_pp,rmse_all_shares_pp,rho_i
didactic_benchmark,x,e_x,16.740300708377287,37.53753753753754,37.39644779789256,-0.14108973964497284,1.8203621431105388,0.9340951952593648
didactic_benchmark,x,e_pi,2.9667777442508316,10.01001001001001,11.606208352111132,1.596198342101121,1.8203621431105388,0.9340951952593648
didactic_benchmark,x,e_i,80.29292154737189,52.452452452452455,50.99734384999631,-1.4551086024561455,1.8203621431105388,0.9340951952593648
didactic_benchmark,pi,e_x,0.9491702697880309,1.4014014014014013,1.0663054569003123,-0.335095944501089,1.8203621431105388,0.9340951952593648
didactic_benchmark,pi,e_pi,40.837220517958066,82.38238238238237,80.34001973718519,-2.0423626451971932,1.8203621431105388,0.9340951952593648
didactic_benchmark,pi,e_i,58.21360921225389,16.216216216216218,18.59367480591449,2.3774585896982723,1.8203621431105388,0.9340951952593648
didactic_benchmark,i,e_x,2.0764841106072374,8.7,5.926674409618901,-2.7733255903810985,1.8203621431105388,0.9340951952593648
didactic_benchmark,i,e_pi,3.489290858016277,14.7,17.440457909690256,2.7404579096902584,1.8203621431105388,0.9340951952593648
didactic_benchmark,i,e_i,94.43422503137649,76.6,76.63286768069084,0.03286768069084012,1.8203621431105388,0.9340951952593648
researcher_alternative,x,e_x,16.740300708377287,45.0,45.452610643295024,0.4526106432950261,0.9517471470309643,0.9340951952593648
researcher_alternative,x,e_pi,2.9667777442508316,10.0,9.884242888204946,-0.11575711179505344,0.9517471470309643,0.9340951952593648
researcher_alternative,x,e_i,80.29292154737189,45.0,44.66314646850002,-0.336853531499981,0.9517471470309643,0.9340951952593648
researcher_alternative,pi,e_x,0.9491702697880309,2.0,1.5069850651285561,-0.49301493487144393,0.9517471470309643,0.9340951952593648
researcher_alternative,pi,e_pi,40.837220517958066,80.0,79.5579924569104,-0.44200754308960644,0.9517471470309643,0.9340951952593648
researcher_alternative,pi,e_i,58.21360921225389,18.0,18.93502247796106,0.9350224779610589,0.9517471470309643,0.9340951952593648
researcher_alternative,i,e_x,2.0764841106072374,10.0,8.078233828367233,-1.9217661716327674,0.9517471470309643,0.9340951952593648
researcher_alternative,i,e_pi,3.489290858016277,15.0,16.65665532793308,1.656655327933082,0.9517471470309643,0.9340951952593648
researcher_alternative,i,e_i,94.43422503137649,75.0,75.2651108436997,0.2651108436997007,0.9517471470309643,0.9340951952593648
