scenario,variable,shock,variance_share,source
phi_pi_1p7,i,e_x,0.0802429652451,dynare
phi_pi_1p7,i,e_pi,0.158553099292,dynare
phi_pi_1p7,i,e_i,0.7612039354629999,dynare
phi_pi_1p8,x,e_x,0.457057834843,dynare
phi_pi_1p8,x,e_pi,0.102784791634,dynare
phi_pi_1p8,x,e_i,0.440157373523,dynare
phi_pi_1p8,pi,e_x,0.0151515598633,dynare
phi_pi_1p8,pi,e_pi,0.798459023251,dynare
phi_pi_1p8,pi,e_i,0.18638941688500002,dynare
phi_pi_1p8,i,e_x,0.08090733140459999,dynare
phi_pi_1p8,i,e_pi,0.17399412773,dynare
phi_pi_1p8,i,e_i,0.745098540866,dynare
phi_pi_1p9,x,e_x,0.462990413879,dynare
phi_pi_1p9,x,e_pi,0.11087423445000001,dynare
phi_pi_1p9,x,e_i,0.426135351671,dynare
phi_pi_1p9,pi,e_x,0.0153424815681,dynare
phi_pi_1p9,pi,e_pi,0.8047135767279999,dynare
phi_pi_1p9,pi,e_i,0.179943941704,dynare
phi_pi_1p9,i,e_x,0.0814899340061,dynare
phi_pi_1p9,i,e_pi,0.189641121935,dynare
phi_pi_1p9,i,e_i,0.7288689440589999,dynare
phi_pi_2p0,x,e_x,0.468359262141,dynare
phi_pi_2p0,x,e_pi,0.11897044064699999,dynare
phi_pi_2p0,x,e_i,0.412670297212,dynare
phi_pi_2p0,pi,e_x,0.0155301478248,dynare
phi_pi_2p0,pi,e_pi,0.810612464458,dynare
phi_pi_2p0,pi,e_i,0.17385738771700002,dynare
phi_pi_2p0,i,e_x,0.0819941427179,dynare
phi_pi_2p0,i,e_pi,0.205431137195,dynare
phi_pi_2p0,i,e_i,0.7125747200870001,dynare
phi_pi_2p1,x,e_x,0.47320032644599996,dynare
phi_pi_2p1,x,e_pi,0.127056194926,dynare
phi_pi_2p1,x,e_i,0.39974347862899995,dynare
phi_pi_2p1,pi,e_x,0.0157144096955,dynare
phi_pi_2p1,pi,e_pi,0.816182117691,dynare
phi_pi_2p1,pi,e_i,0.168103472613,dynare
phi_pi_2p1,i,e_x,0.0824235272282,dynare
phi_pi_2p1,i,e_pi,0.22130570886099998,dynare
phi_pi_2p1,i,e_i,0.69627076391,dynare
phi_pi_2p2,x,e_x,0.47754786212600003,dynare
phi_pi_2p2,x,e_pi,0.135116569205,dynare
phi_pi_2p2,x,e_i,0.387335568668,dynare
phi_pi_2p2,pi,e_x,0.015895163647799998,dynare
phi_pi_2p2,pi,e_pi,0.8214466220590001,dynare
phi_pi_2p2,pi,e_i,0.162658214294,dynare
phi_pi_2p2,i,e_x,0.08278179977860001,dynare
phi_pi_2p2,i,e_pi,0.23721096621600002,dynare
phi_pi_2p2,i,e_i,0.680007234005,dynare
rho_calibrated_0p80,x,e_x,0.671129007999,dynare
rho_calibrated_0p80,x,e_pi,0.22043009749599998,dynare
rho_calibrated_0p80,x,e_i,0.108440894505,dynare
rho_calibrated_0p80,pi,e_x,0.0137714117758,dynare
rho_calibrated_0p80,pi,e_pi,0.968239032303,dynare
rho_calibrated_0p80,pi,e_i,0.0179895559215,dynare
rho_calibrated_0p80,i,e_x,0.245229264806,dynare
rho_calibrated_0p80,i,e_pi,0.50589498859,dynare
rho_calibrated_0p80,i,e_i,0.248875746604,dynare
fevd_didactic_benchmark,x,e_x,0.37396447798099997,dynare
fevd_didactic_benchmark,x,e_pi,0.116062083522,dynare
fevd_didactic_benchmark,x,e_i,0.509973438497,dynare
fevd_didactic_benchmark,pi,e_x,0.010663054568999998,dynare
fevd_didactic_benchmark,pi,e_pi,0.803400197373,dynare
fevd_didactic_benchmark,pi,e_i,0.185936748057,dynare
fevd_didactic_benchmark,i,e_x,0.0592667440968,dynare
fevd_didactic_benchmark,i,e_pi,0.174404579098,dynare
fevd_didactic_benchmark,i,e_i,0.7663286768049999,dynare
