horizon,date,scenario,variable,value_dev,value_level,p05_level,p95_level,is_synthetic,data_source
4,2027Q1,cond_tighten_100bp_4q,pi,-0.002088536682256149,2.93252028306763,,,False,Banco Central de Chile (BCCh)
4,2027Q1,cond_tighten_100bp_4q,i,0.0034879262754709,5.537403397891594,,,False,Banco Central de Chile (BCCh)
5,2027Q2,cond_tighten_100bp_4q,x,-0.004996117978121849,-0.499611797820939,,,False,Banco Central de Chile (BCCh)
5,2027Q2,cond_tighten_100bp_4q,pi,-0.0011349896153779418,3.3228514590952107,,,False,Banco Central de Chile (BCCh)
5,2027Q2,cond_tighten_100bp_4q,i,0.0009879262754709,4.499999999999993,,,False,Banco Central de Chile (BCCh)
6,2027Q3,cond_tighten_100bp_4q,x,-0.003368101242206327,-0.3368101242293868,,,False,Banco Central de Chile (BCCh)
6,2027Q3,cond_tighten_100bp_4q,pi,-0.0006400904604446214,3.525873762997378,,,False,Banco Central de Chile (BCCh)
6,2027Q3,cond_tighten_100bp_4q,i,0.0009879262754709,4.499999999999993,,,False,Banco Central de Chile (BCCh)
7,2027Q4,cond_tighten_100bp_4q,x,-0.0020746451784888903,-0.20746451785764308,,,False,Banco Central de Chile (BCCh)
7,2027Q4,cond_tighten_100bp_4q,pi,-0.0003055297882465369,3.6632898630321487,,,False,Banco Central de Chile (BCCh)
7,2027Q4,cond_tighten_100bp_4q,i,0.0009879262754709,4.499999999999993,,,False,Banco Central de Chile (BCCh)
8,2028Q1,cond_tighten_100bp_4q,x,-0.0009879262754709,-0.0987926275558441,,,False,Banco Central de Chile (BCCh)
8,2028Q1,cond_tighten_100bp_4q,pi,-9.879262754709002e-05,3.7482726067461947,,,False,Banco Central de Chile (BCCh)
8,2028Q1,cond_tighten_100bp_4q,i,0.0009879262754709,4.499999999999993,,,False,Banco Central de Chile (BCCh)
