scenario,rstar_annual,sigma,kappa,rho_i,phi_pi,phi_x,rstar,beta,alpha_q,alpha_copper,gamma_q,eta_i,phi_q,rho_copper,std_e_x,std_e_pi,std_e_i,std_e_q,std_e_copper,gamma_pi
open_economy,0.03,1.0,0.1,0.9340951952593648,1.75,0.5,0.007417071777732875,0.9926375361451396,0.05,0.03,0.03,1.0,0.05,0.9411821266432188,0.005,0.00277,0.00068,0.0460980810141941,0.12,
hybrid_nkpc,0.03,1.0,0.1,0.9340951952593648,1.75,0.5,0.007417071777732875,0.9926375361451396,,,,,,,0.005,0.00277,0.00068,,,0.35
