variable,shock,fevd_initial_sigmas_pct,illustrative_target_pct,fevd_calibrated_sigmas_pct,calibration_type
x,e_x,16.740300708377287,45.0,45.452610643295024,researcher_alternative
x,e_pi,2.9667777442508316,10.0,9.884242888204946,researcher_alternative
x,e_i,80.29292154737189,45.0,44.66314646850002,researcher_alternative
pi,e_x,0.9491702697880309,2.0,1.5069850651285561,researcher_alternative
pi,e_pi,40.837220517958066,80.0,79.5579924569104,researcher_alternative
pi,e_i,58.21360921225389,18.0,18.93502247796106,researcher_alternative
i,e_x,2.0764841106072374,10.0,8.078233828367233,researcher_alternative
i,e_pi,3.489290858016277,15.0,16.65665532793308,researcher_alternative
i,e_i,94.43422503137649,75.0,75.2651108436997,researcher_alternative
