scenario,index,real,imaginary,modulus
rho_calibrated_0p80,1,0.534559498404,0,0.534559498404
rho_calibrated_0p80,2,1.38517059841,0,1.38517059841
rho_calibrated_0p80,3,1.08842868214,0,1.08842868214
