variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00464411887642,2.15678401383e-05,0.0739268550083
pi,0,0.00242922985106,5.90115766928e-06,-0.0722504432022
i,0.00741707177773,0.00107770460042,1.16144720577e-06,0.534559498404
