variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00590100946598,3.48219127176e-05,0.274442862466
pi,0,0.00271007325598,7.3444970528e-06,0.0737791045025
i,0.00741707177773,0.000685029845843,4.69265889695e-07,0.630072502944
