horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00393088231678,-0.00142475545551,-0.00303259452025,0.000278943479459,0.00227551299428,-0.00105251647088,0.000161703517982,0.000215493554204,0.000458678413267
1,-0.00067362165461,-0.000897699235938,-0.00191075441979,-0.000233792510631,-0.00031156266537,-0.000663161687195,0.00010188494031,0.000135776563066,0.000289000655894
2,-0.000424430481958,-0.000565615604479,-0.00120391381979,-0.000147306232343,-0.000196307068394,-0.000417839944108,6.41948993532e-05,8.55490789319e-05,0.000182091366612
3,-0.000267421976093,-0.000356378839618,-0.000758552993764,-9.28136065116e-05,-0.000123687685929,-0.000263269459414,4.04474409117e-05,5.39021222872e-05,0.000114730763126
4,-0.000168495233819,-0.000224544507475,-0.000477943383397,-5.84793013621e-05,-7.79322098564e-05,-0.000165878847242,2.54848203329e-05,3.39622451035e-05,7.22886990872e-05
5,-0.000106164213707,-0.000141479319847,-0.000301138983843,-3.68461997796e-05,-4.91029425242e-05,-0.000104515700467,1.60572845343e-05,2.1398676778e-05,4.55471215685e-05
6,-6.68911518533e-05,-8.91422291708e-05,-0.000189739393284,-2.32157773191e-05,-3.09384138982e-05,-6.58524689903e-05,1.0117253457e-05,1.34827178372e-05,2.86979888886e-05
7,-4.2146275473e-05,-5.61660674517e-05,-0.000119549574433,-1.46276229233e-05,-1.94934438819e-05,-4.14918299618e-05,6.37460320857e-06,8.49508977417e-06,1.80818136885e-05
8,-2.65552092771e-05,-3.53886946998e-05,-7.53248995892e-05,-9.21646298739e-06,-1.22822829777e-05,-2.61428611558e-05,4.0164621989e-06,5.35252247675e-06,1.13928536085e-05
9,-1.67317071754e-05,-2.22974434455e-05,-4.74601480182e-05,-5.80703990276e-06,-7.73872877763e-06,-1.64718979625e-05,2.53066239064e-06,3.37247723399e-06,7.17832378877e-06
10,-1.05421886185e-05,-1.40490060009e-05,-2.99033342519e-05,-3.65885616623e-06,-4.87596021053e-06,-1.03784899775e-05,1.59450078658e-06,2.12490517194e-06,4.52286443653e-06
11,-6.6423431694e-06,-8.85189237489e-06,-1.88412686585e-05,-2.30534466257e-06,-3.0722084541e-06,-6.53920115691e-06,1.00465110155e-06,1.33884432021e-06,2.84973251601e-06
12,-4.18515778616e-06,-5.57733398444e-06,-1.18713653023e-05,-1.45253428169e-06,-1.93571407024e-06,-4.12017084019e-06,6.33003034137e-07,8.43568991884e-07,1.79553809908e-06
13,-2.63695284154e-06,-3.51412478333e-06,-7.47982084939e-06,-9.15201910479e-07,-1.21964020922e-06,-2.59600635384e-06,3.98837806091e-07,5.31509626123e-07,1.13131918422e-06
14,-1.66147147702e-06,-2.21415339789e-06,-4.71282944415e-06,-5.76643558435e-07,-7.68461759317e-07,-1.63567222102e-06,2.51296734752e-07,3.3488960047e-07,7.12813110031e-07
15,-1.04684749209e-06,-1.39507717331e-06,-2.96942424383e-06,-3.6332725017e-07,-4.8418662411e-07,-1.03059209029e-06,1.58335162647e-07,2.11004728778e-07,4.49123940368e-07
16,-6.59589819545e-07,-8.7899976639e-07,-1.87095256561e-06,-2.28922509902e-07,-3.05072678145e-07,-6.49347737847e-07,9.97626322333e-08,1.32948277594e-07,2.8298064524e-07
17,-4.15589408517e-07,-5.53833582897e-07,-1.1788357659e-06,-1.44237778795e-07,-1.92217905899e-07,-4.09136154466e-07,6.28576913913e-08,8.37670540259e-08,1.78298323431e-07
18,-2.61851458822e-07,-3.4895531179e-07,-7.42752001584e-07,-9.08802583042e-08,-1.2111121708e-07,-2.5778544089e-07,3.9604902944e-08,5.27793173949e-08,1.12340870915e-07
19,-1.64985404059e-07,-2.19867146715e-07,-4.67987612705e-07,-5.72611518179e-08,-7.63088476804e-08,-1.62423517964e-07,2.49539603269e-08,3.32547966143e-08,7.07828937208e-08
