variable,period,e_x,e_pi,e_i,initial,smoothed
x,1,0.0219595034,0.002662965656,-0.002017080775,-0.002023940449,0.02058144783
x,2,0.006426170068,0.002893679512,0.01027873977,-0.001327860741,0.01827072861
x,3,0.01259991145,-0.001447177186,-0.006328896335,-0.0008711788668,0.003952659058
x,4,0.02288363201,0.001244813045,-0.02537914159,-0.0005715604014,-0.001822256934
x,5,0.007206789692,0.0009005291917,-0.01328050709,-0.0003749876229,-0.005548175834
x,6,-0.01259049471,0.002506648346,0.0007284617154,-0.0002460207478,-0.009601405391
x,7,-0.02409252278,-0.001113949322,0.01433437577,-0.0001614085496,-0.01103350488
x,8,-0.02049667666,0.003256858292,0.008346100633,-0.000105896434,-0.008999614168
x,9,-0.01876353418,-0.002368981195,0.01378145611,-6.947621281e-05,-0.007420535478
x,10,-0.01834242471,0.007441516094,0.001384968424,-4.5581744e-05,-0.00956152194
x,11,-0.02140544065,0.009396105105,-0.003763440907,-2.990513302e-05,-0.01580268158
x,12,-0.02654007314,0.01614055734,-0.01291643567,-1.96200694e-05,-0.02333557154
x,13,-0.02868493459,0.01711252879,-0.003966655684,-1.287227591e-05,-0.01555193376
x,14,-0.0220142798,0.01236433908,3.525910421e-06,-8.445203928e-06,-0.00965486002
x,15,-0.01020313372,0.01295408067,0.0002567575058,-5.540703902e-06,0.003002163757
x,16,-0.004979979952,0.01561000961,-0.004715605018,-3.635128292e-06,0.005910789511
x,17,-0.01046811709,0.01600912621,-0.01163160351,-2.384923998e-06,-0.006092979316
x,18,-0.002004655051,0.008351514984,-0.009010543803,-1.564693738e-06,-0.002665248564
x,19,0.01186032006,0.001494203653,-0.00490349441,-1.026559545e-06,0.008450002739
x,20,0.01621268644,0.005830850473,-0.01436480273,-6.735020875e-07,0.00767806068
x,21,0.01292621983,0.004956119628,-0.01369897349,-4.418692167e-07,0.004182924093
x,22,0.02096144572,0.0001347785875,-0.008603408864,-2.899002219e-07,0.01249252554
x,23,0.02184422922,-0.0001792280738,-0.007589634647,-1.901968626e-07,0.0140751763
x,24,0.02689263565,0.006301126205,-0.009610461305,-1.247837835e-07,0.02358317577
x,25,0.02004420672,0.006147730567,-0.003674772732,-8.186776804e-08,0.02251708269
x,26,0.01743087871,-0.00234329235,0.006615075735,-5.371155816e-08,0.02170260838
x,27,0.01505309462,-0.01525415216,0.01405230425,-3.523891696e-08,0.01385121147
x,28,0.02638382407,-0.01490955668,0.01071170837,-2.311944227e-08,0.02218595265
x,29,0.03822928077,-0.01265964503,0.007457534365,-1.516813391e-08,0.03302715494
x,30,0.02920467814,-0.0218597791,0.01688467638,-9.951463518e-09,0.02422956546
x,31,0.02800341621,-0.03060846802,0.009028651103,-6.52892615e-09,0.006423592757
x,32,0.02125878704,-0.01986587376,-0.01257805368,-4.283478152e-09,-0.01118514468
x,33,-0.02355986303,-0.007464743027,0.00540895816,-2.810291423e-09,-0.02561565071
x,34,-0.07921136795,0.002917113313,0.03519398751,-1.843767507e-09,-0.04110026898
x,35,-0.07377095331,0.009195344385,0.0255713506,-1.209653405e-09,-0.03900425954
x,36,-0.06061537121,0.01863140646,0.0052168918,-7.936257485e-10,-0.03676707375
x,37,-0.05873207535,0.01561717975,-0.0006153740335,-5.206795897e-10,-0.04373027016
x,38,-0.03352436433,0.0147109744,-0.001934512134,-3.416058859e-10,-0.02074790241
x,39,-0.008073100629,0.01298983704,-0.01301013315,-2.241197488e-10,-0.008093396965
x,40,0.003565906599,0.0132994795,-0.02378824843,-1.470398074e-10,-0.006922862473
x,41,0.006423599709,0.007464646505,-0.01993518693,-9.64694262e-11,-0.006046940816
x,42,0.02098298519,0.003939294747,-0.02741313767,-6.329136954e-11,-0.002490857794
x,43,0.01766017867,0.001179070116,-0.02558029541,-4.152401339e-11,-0.006741046673
x,44,0.02198977929,-0.003203351632,-0.01452531807,-2.724295615e-11,0.00426110956
x,45,0.02296975114,-0.001568871633,-0.007109615614,-1.787347527e-11,0.01429126387
x,46,0.02543565983,0.004676010438,-0.007504976638,-1.172638722e-11,0.02260669362
x,47,0.02036010663,0.002420751277,-0.002161878729,-7.69341188e-12,0.02061897917
x,48,0.01557904634,0.005465226202,-0.003871638722,-5.047472856e-12,0.01717263381
x,49,0.01429174707,0.00429340658,-0.001927399561,-3.311538543e-12,0.01665775409
x,50,0.01360691096,0.006655481285,-0.003827376496,-2.172626662e-12,0.01643501575
x,51,0.01169336214,0.003389353671,-0.0006620420137,-1.425408402e-12,0.0144206738
x,52,0.004582560441,0.0009751196606,0.004694062332,-9.35182487e-13,0.01025174243
x,53,-0.002117617617,-0.002405459342,0.01032973904,-6.135534789e-13,0.005806662082
x,54,-0.003342721504,-0.00143762461,0.01166731714,-4.025417152e-13,0.006886971021
x,55,-0.01466109713,-0.002371180829,0.01313366368,-2.640934346e-13,-0.003898614277
x,56,-0.01489190931,0.001816560329,0.01366586776,-1.732667829e-13,0.0005905187851
x,57,-0.01216922268,0.002029691384,0.01130840147,-1.136712252e-13,0.001168870175
x,58,-0.007173967058,0.001321262209,0.01088704641,-7.457662959e-14,0.005034341562
x,59,-0.01422825831,-0.001226455514,0.0107380249,-4.892614092e-14,-0.004716688924
x,60,-0.007238775274,0.003158364501,0.002099799666,-3.209498639e-14,-0.001980611108
x,61,0.000205819737,0.001713609851,0.0009955248414,-2.105607355e-14,0.002914954429
x,62,-0.007281958655,0.001913077847,0.0001406549325,-1.381360304e-14,-0.005228225876
x,63,-0.005451685092,0.004746111588,-0.002771111301,-9.061328077e-15,-0.003476684805
x,64,-0.009334238985,0.007912887425,-0.006976442167,-5.936223735e-15,-0.008397793727
x,65,-0.02012478895,0.004588390309,-0.003420584982,-3.889250033e-15,-0.01895698362
x,66,-0.01787349395,0.01005586316,-0.001921035038,-2.55524768e-15,-0.009738665831
x,67,-0.006621738253,0.0130960041,-0.001491504568,-1.672273431e-15,0.004982761278
x,68,-0.004699449016,0.0121250952,0.0006911740529,-1.089406343e-15,0.008116820239
x,69,0.001299381096,0.01245143769,0.002864088997,-7.112366252e-16,0.01661490778
x,70,0.005375928783,0.01303469833,0.005354461871,-4.683753385e-16,0.02376508898
x,71,-0.001788131519,0.01203700437,0.007077435042,-3.053113318e-16,0.01732630789
x,72,0.00732064674,0.01467733013,0.004207307973,-1.977584763e-16,0.02620528485
x,73,0.002556592269,0.01414485557,0.002465115343,-1.283695372e-16,0.01916656318
x,74,0.009170426788,0.01279707602,0.007022030662,-9.020562075e-17,0.02898953347
x,75,-0.003083529635,0.01503148211,0.01189107304,-5.551115123e-17,0.02383902552
x,76,-0.04463370991,0.01192805364,0.01252339467,-3.469446952e-17,-0.02018226159
x,77,-0.02600062762,0.009511360822,0.01354824145,-2.255140519e-17,-0.002941025354
x,78,-0.1481931244,0.01027412459,-0.003714431624,-2.775557562e-17,-0.1416334314
x,79,-0.09050394069,0.007855320244,-0.01501149472,4.163336342e-17,-0.09766011517
x,80,-0.0344948796,0.008806865577,-0.01316909619,3.469446952e-17,-0.03885711022
x,81,-0.009492933081,0.009076342372,-0.004873944743,3.035766083e-17,-0.005290535452
x,82,-0.01087237121,0.0121446547,-0.001259689033,1.474514955e-17,1.259445903e-05
x,83,0.01844322004,0.006861330542,0.009567862648,2.081668171e-17,0.03487241323
x,84,0.04294433856,5.972822921e-05,0.00340667494,1.387778781e-17,0.04641074173
x,85,0.04568415457,-0.01306082662,-0.004850267964,1.387778781e-17,0.02777305999
x,86,0.06795299258,-0.02660888361,-0.01710961557,-3.469446952e-18,0.02423449339
x,87,0.06814638314,-0.0391165903,-0.01962256263,-2.081668171e-17,0.009407230208
x,88,0.06777695769,-0.04061195935,-0.0257582899,-2.428612866e-17,0.001406708448
x,89,0.06012250032,-0.04170662402,-0.0178688036,-2.775557562e-17,0.0005470726989
x,90,0.05321847611,-0.03419031198,-0.02084316863,-4.163336342e-17,-0.001815004499
x,91,0.04195661729,-0.03309077693,-0.008100751789,-3.295974604e-17,0.0007650885632
x,92,0.02277653817,-0.0274865811,0.001929552669,-1.82145965e-17,-0.002780490258
x,93,0.01363220486,-0.02706391649,0.0179847458,-2.428612866e-17,0.004553034173
x,94,-0.009067031042,-0.02029054836,0.02080240757,-2.428612866e-17,-0.008555171828
x,95,-0.001494978089,-0.01648995095,0.01980270156,-1.734723476e-17,0.001817772514
x,96,0.0004482190027,-0.01266004445,0.01745668035,-1.040834086e-17,0.005244854903
x,97,0.003999452868,-0.01476650212,0.02060567838,-1.040834086e-17,0.009838629124
x,98,0.00372755017,-0.005833021478,0.009033150238,-1.040834086e-17,0.00692767893
x,99,-0.00395047501,-0.006977163935,0.008706911645,-1.214306433e-17,-0.002220727301
x,100,-0.003233416063,-0.001324652675,0.001688204159,-9.540979118e-18,-0.002869864579
x,101,-0.01055164837,-0.004516471143,0.00375141777,-6.938893904e-18,-0.01131670175
pi,1,0.001167305181,-0.004358212962,-0.000578368841,-0.0005803357538,-0.004349612376
pi,2,-0.0005025653335,-0.001375517599,0.002947280486,-0.0003807449297,0.0006884526238
pi,3,-0.000270023452,0.006019861869,-0.001814719809,-0.0002497979842,0.003685320624
pi,4,-3.918427376e-05,-0.003863393321,-0.007277103074,-0.0001638867075,-0.01134356738
