period,e_x,e_pi,e_i
1,0.02050965285,-0.002502442809,0.0004511592123
2,0.003418158977,0.0006323223244,-0.002494272631
3,0.01728828102,0.008708825869,0.002793474871
4,0.03024394659,-0.001786421158,0.004655005265
5,0.01293619499,0.002392990195,-0.000761585996
6,-0.01105223009,-0.001243149293,-0.002145461987
7,-0.02896807443,0.007663675459,-0.003152322954
8,-0.03125259515,-0.005228172603,0.0001836233784
9,-0.03420619609,0.01120553456,-0.001861284054
10,-0.03672696995,-0.01476181478,0.001679777445
11,-0.04100614242,-0.006337901529,0.0009530573049
12,-0.04483039641,-0.01736399966,0.00206258149
13,-0.05417283862,-0.01037668199,-0.001140692785
14,-0.04675012686,-0.0002322488896,-0.0007895364911
15,-0.03738797828,-0.006931123904,-0.0001272273049
16,-0.02936508486,-0.0112947642,0.001012764571
17,-0.02377137558,-0.009726732584,0.00148854754
18,-0.01401049017,0.005663494854,-4.717618917e-05
19,-0.0004318043644,0.009802529977,-0.000374794493
20,0.01312428314,-0.007522935566,0.002212378004
21,0.01887480416,-0.0008713376321,0.0005219745363
22,0.02811899526,0.007707416651,-0.0003765156924
23,0.03670353975,0.00191473592,3.711521118e-05
24,0.0419365559,-0.01046185525,0.0007922635113
25,0.03938054334,-0.002178605203,-0.0008808206099
26,0.03721516347,0.01404568276,-0.002270932533
27,0.0418138359,0.02751382175,-0.002637142055
28,0.05173079135,0.01102464439,-0.0006604300046
29,0.06134477814,0.00791821995,-0.0001657107314
30,0.05686368625,0.02823348578,-0.002802566296
31,0.05982976692,0.03319738023,0.0002285253408
32,0.05219899748,0.001549518805,0.003895695218
33,-0.006108806396,-0.008550710904,-0.003174300524
34,-0.08144531847,-0.01324397535,-0.007286850674
35,-0.09977452254,-0.01162758628,-0.0006227772167
36,-0.09966680219,-0.02168484302,0.00254769539
37,-0.09544145346,-0.005099362891,0.0005104769242
38,-0.08156556973,-0.006120418491,0.0002968500794
39,-0.05156733278,-0.003846699813,0.002596943779
40,-0.02785002189,-0.007069068493,0.003225985692
41,-0.01661595071,0.004395872867,0.0007538819571
42,0.005504620751,0.003988537602,0.003031081353
43,0.01598978921,0.004148825414,0.001305525094
44,0.02400257959,0.009393626377,-0.0007814970435
45,0.03044338497,0.0007460667306,-0.0008090112488
46,0.03704519465,-0.009084644361,0.000396753308
47,0.0387925892,0.002759616184,-0.0009690987507
48,0.03778708554,-0.006185833449,0.0001073410222
49,0.03690842144,-5.395903896e-05,-0.0005607809272
50,0.03614914085,-0.00602203898,0.0001613152347
51,0.0343723029,0.003216674814,-0.0008251731591
52,0.02649149007,0.003629028194,-0.001588757233
53,0.01759278636,0.006983207462,-0.002092806439
54,0.009246705257,0.001273660632,-0.001431677593
55,-0.0003519366892,0.003593004791,-0.00179211891
56,-0.009654843715,-0.005169276634,-0.001541839103
57,-0.00968002747,-0.000310441371,-0.000946571758
58,-0.009871681308,0.001726760013,-0.001062504795
59,-0.01263839625,0.005034511507,-0.001320919678
60,-0.00937388315,-0.006287310173,0.0006811629662
61,-0.005366348375,0.002517178771,-0.0001686750113
62,-0.008394396913,-0.0002010523754,-0.0003083092122
63,-0.011905235,-0.004871992567,0.0003865884816
64,-0.01706978464,-0.007363541603,0.0009036961528
65,-0.02453333426,0.002337992946,-0.0007240156975
66,-0.0295276116,-0.01188388844,-0.0003780332599
67,-0.02325504199,-0.01024511593,-6.170713683e-05
68,-0.01599564265,-0.004954041862,-0.0006193082813
69,-0.009926980782,-0.006563914049,-0.0007036051684
70,-0.006518546531,-0.006899748474,-0.0008164989704
71,-0.006426851584,-0.004897902968,-0.001051457753
72,-0.0016474866,-0.01051412958,7.353226574e-05
73,0.002444068397,-0.006926994859,-0.000211015105
74,0.002084227234,-0.004047494405,-0.001159330963
75,-0.01663331628,-0.009491896265,-0.001393722293
76,-0.05246118322,-0.002393922245,-0.001382423444
77,-0.09040936001,0.003545963956,0.0001983776888
78,-0.1569912336,-0.009966399877,0.001212491028
79,-0.1532045712,-0.0003330601196,0.002530398202
80,-0.1154811624,-0.003107428,0.001172221629
81,-0.0782943732,-0.002787029916,-0.0005190129278
82,-0.05261454475,-0.01038605676,-0.0007849775158
83,-0.02359723086,0.004960947349,-0.002227931506
84,0.01496368066,0.01163810435,0.0008009498374
85,0.0450409689,0.02699466884,0.001308808356
86,0.07894325514,0.03707102032,0.00301609189
87,0.09771255903,0.04360579684,0.001648978842
88,0.1098427469,0.03061453367,0.002616496898
89,0.108123419,0.03100397849,2.979434827e-05
90,0.1079224517,0.01495015722,0.001766559743
91,0.09614241858,0.02246194165,-0.001446090147
92,0.07700244563,0.01265954565,-0.001952069903
93,0.05572024715,0.01956863691,-0.003839462678
94,0.0347390654,0.005870884114,-0.002524533488
95,0.02926669315,0.00775569684,-0.001679301156
96,0.02772244922,0.005043771701,-0.001351025818
97,0.0265429306,0.01408780204,-0.002338318135
98,0.02500419847,-0.005889560742,0.0006418271125
99,0.01758694675,0.007148529939,-0.001113431818
100,0.01143815792,-0.004798119627,0.0005175352
101,0.003692090269,0.008071878747,-0.001093938076
