horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00398044375012,-0.00130346345178,-0.00323682832042,0.000204281404925,0.00239193514999,-0.000938830323016,0.000151359873223,0.000193507776382,0.000480528587096
1,-0.000672996252719,-0.00086039982463,-0.00213658964926,-0.000195200123943,-0.000249555850764,-0.000619710084069,9.9910747938e-05,0.000127732048518,0.000317190874438
2,-0.000444236358931,-0.000567939098879,-0.00141033594538,-0.00012884914585,-0.000164728677233,-0.000409062829439,6.59498276591e-05,8.43143181303e-05,0.000209373705392
3,-0.000293234831247,-0.000374889453487,-0.000930945013011,-8.50517000245e-05,-0.000108735327262,-0.000270017226975,4.35326514717e-05,5.56548205738e-05,0.000138204948636
4,-0.000193560622691,-0.000247459811471,-0.000614505090145,-5.61415570846e-05,-7.1774821442e-05,-0.00017823497423,2.87353555183e-05,3.67370468242e-05,9.12273477305e-05
5,-0.000127766931701,-0.000163345108068,-0.000405627078439,-3.7058335471e-05,-4.7377656579e-05,-0.000117650663976,1.89678466358e-05,2.42496623913e-05,6.02180244347e-05
6,-8.4337344081e-05,-0.000107822050664,-0.000267749330968,-2.44617409847e-05,-3.12733950127e-05,-7.76597230362e-05,1.25204369151e-05,1.60068970406e-05,3.97491602796e-05
7,-5.56700197142e-05,-7.117197905e-05,-0.000176737964609,-1.61468874518e-05,-2.0643174573e-05,-5.12622060789e-05,8.26458287828e-06,1.05659513413e-05,2.62379205854e-05
8,-3.67470795855e-05,-4.69797279009e-05,-0.000116662506761,-1.06583572504e-05,-1.36262998078e-05,-3.3837537263e-05,5.45534717481e-06,6.97445154195e-06,1.73193212588e-05
9,-2.42562848908e-05,-3.10107272989e-05,-7.70074528911e-05,-7.03544751989e-06,-8.99454906005e-06,-2.23357326109e-05,3.60100603213e-06,4.60374771184e-06,1.14322660551e-05
10,-1.60112684693e-05,-2.04697909199e-05,-5.08316507627e-05,-4.64401038945e-06,-5.93718866712e-06,-1.47435360733e-05,2.37697877475e-06,3.03887594126e-06,7.54629498472e-06
11,-1.05688368663e-05,-1.35118514399e-05,-3.3553333116e-05,-3.06545282817e-06,-3.91906353878e-06,-9.73202266206e-06,1.56901378259e-06,2.00592377436e-06,4.98121437361e-06
12,-6.97635624071e-06,-8.91900313236e-06,-2.21481330293e-05,-2.02346684303e-06,-2.58692453316e-06,-6.42398571308e-06,1.03568625691e-06,1.32408504537e-06,3.28803693549e-06
13,-4.60500497953e-06,-5.88732175075e-06,-1.46197039497e-05,-1.33566500427e-06,-1.70759633623e-06,-4.24039214405e-06,6.83643467411e-07,8.74011879105e-07,2.17039181177e-06
14,-3.03970584784e-06,-3.8861470147e-06,-9.65028263536e-06,-8.8165566428e-07,-1.12716285695e-06,-2.79902950261e-06,4.51264451388e-07,5.76924244774e-07,1.43264832756e-06
15,-2.00647158526e-06,-2.56519674977e-06,-6.37003014989e-06,-5.81969811196e-07,-7.4402602016e-07,-1.84760415791e-06,2.97873986652e-07,3.80820435243e-07,9.45673135759e-07
16,-1.32444664845e-06,-1.69325409979e-06,-4.20477675564e-06,-3.84150950156e-07,-4.91122214738e-07,-1.21958025849e-06,1.96622870804e-07,2.51374777905e-07,6.24226938666e-07
17,-8.74250568748e-07,-1.11769572712e-06,-2.77552023283e-06,-2.53573208896e-07,-3.24183594758e-07,-8.05029584142e-07,1.29788283153e-07,1.65929328154e-07,4.12044348329e-07
18,-5.77081800804e-07,-7.37776886874e-07,-1.83208598471e-06,-1.67380484791e-07,-2.13989512094e-07,-5.31389899789e-07,8.56716127423e-08,1.09527861829e-07,2.71985290082e-07
19,-3.80924435996e-07,-4.86997240481e-07,-1.20933690761e-06,-1.10485752066e-07,-1.41251784565e-07,-3.50763787021e-07,5.65507536701e-08,7.22979635378e-08,1.79534067925e-07
