horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00396364187576,-0.00118473828742,-0.0033946197805,0.000196486350014,0.00242303090362,-0.000994167378822,0.000147445734834,0.000168556219409,0.000482962594022
1,-0.000687552043575,-0.000785992034575,-0.00225209578876,-0.00020136034583,-0.00023019003344,-0.000659561397723,9.78200623226e-05,0.000111825410928,0.000320412327287
2,-0.000456143297927,-0.000521451433598,-0.00149411002401,-0.000133588683325,-0.000152715190049,-0.000437573437464,6.48968558064e-05,7.41884373837e-05,0.000212571451181
3,-0.000302619576493,-0.000345947014271,-0.000991238816298,-8.86268656273e-05,-0.000101315981944,-0.000290299756528,4.30545819902e-05,4.92189046815e-05,0.000141026477476
4,-0.000200767189813,-0.000229511952545,-0.000657618498737,-5.87978046898e-05,-6.72161570438e-05,-0.000192593840085,2.85637417609e-05,3.26533441527e-05,9.35613283854e-05
5,-0.000133195165272,-0.000152265330204,-0.000436284458166,-3.90082827805e-05,-4.45932781881e-05,-0.000127772712186,1.89500700197e-05,2.1663238775e-05,6.20714799512e-05
6,-8.83657935756e-05,-0.000101017531005,-0.000289444607782,-2.58793016765e-05,-2.95845604245e-05,-8.47683704329e-05,1.25720627486e-05,1.43720628437e-05,4.11801402333e-05
7,-5.86246014134e-05,-6.7018155457e-05,-0.000192026507949,-1.71691294137e-05,-1.96273127043e-05,-5.62379595995e-05,8.34069539533e-06,9.53487114875e-06,2.7320179106e-05
8,-3.88933743682e-05,-4.44619178094e-05,-0.000127396326494,-1.13905316499e-05,-1.30213664988e-05,-3.73100023484e-05,5.5334753786e-06,6.32572852011e-06,1.81250520798e-05
9,-2.58030678806e-05,-2.94974118851e-05,-8.451866452e-05,-7.55683110896e-06,-8.63877740425e-06,-2.47526098946e-05,3.67107876674e-06,4.19668401239e-06,1.20247203219e-05
10,-1.71185535549e-05,-1.9569495667e-05,-5.60722969712e-05,-5.013435559e-06,-5.7312322057e-06,-1.64216472268e-05,2.43550723361e-06,2.78421001531e-06,7.97757149521e-06
11,-1.13569780604e-05,-1.29830088874e-05,-3.72000966353e-05,-3.32606826086e-06,-3.80227676424e-06,-1.08946288407e-05,1.6157908511e-06,1.84713106502e-06,5.29256774855e-06
12,-7.53457061957e-06,-8.61332977812e-06,-2.46796950442e-05,-2.20661658971e-06,-2.5225480443e-06,-7.22783384258e-06,1.07196564168e-06,1.22544389705e-06,3.5112531915e-06
13,-4.99866726162e-06,-5.7143494632e-06,-1.63732732591e-05,-1.46393771627e-06,-1.67353641787e-06,-4.79516859361e-06,7.11175172309e-07,8.12997395393e-07,2.32947400214e-06
14,-3.31627051546e-06,-3.79107623053e-06,-1.08625360539e-05,-9.71221573844e-07,-1.11027583727e-06,-3.18126320305e-06,4.71815612408e-07,5.39367625486e-07,1.54544512478e-06
15,-2.20011646228e-06,-2.5151172637e-06,-7.20654249489e-06,-6.44338440779e-07,-7.36591341347e-07,-2.11054843422e-06,3.13017074806e-07,3.57833170279e-07,1.02529611041e-06
16,-1.45962533063e-06,-1.66860660812e-06,-4.78104325482e-06,-4.27474056843e-07,-4.88677485299e-07,-1.40020312966e-06,2.07665211883e-07,2.37397596188e-07,6.80213161351e-07
17,-9.68360603786e-07,-1.10700524896e-06,-3.17189201627e-06,-2.83599514959e-07,-3.24203762974e-07,-9.28938077199e-07,1.37771526532e-07,1.57496910172e-07,4.51274456401e-07
18,-6.42440384726e-07,-7.34421531872e-07,-2.10433129898e-06,-1.88148692528e-07,-2.15086806919e-07,-6.16286260892e-07,9.14018932234e-08,1.04488323016e-07,2.99389436388e-07
19,-4.26214827734e-07,-4.87237966562e-07,-1.39607848979e-06,-1.24823663768e-07,-1.42695242295e-07,-4.08863372798e-07,6.06388438542e-08,6.93207862596e-08,1.9862421493e-07
