variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00629639882313,3.96446381399e-05,0.331784242927
pi,0,0.00280038195835,7.84213911265e-06,0.0873138418449
i,0.00741707177773,0.000711481714913,5.06206230656e-07,0.663430939068
