horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.0039942329554,-0.00141377821284,-0.00309773618795,0.00021096258987,0.00236370830916,-0.000890227662396,0.000155255433606,0.000218238160254,0.000478182674246
1,-0.000660653078744,-0.000928661297853,-0.00203479420079,-0.000189858532251,-0.000266878754738,-0.000584759312907,0.000101981846347,0.000143352989388,0.00031410141905
2,-0.00043395982479,-0.000610005019383,-0.00133658490858,-0.000124711407608,-0.000175303289082,-0.00038410787316,6.69882962729e-05,9.41635484027e-05,0.000206322200202
3,-0.000285052981043,-0.00040069089186,-0.000877955725035,-8.19185474736e-05,-0.00011515057912,-0.000252306983347,4.40022611698e-05,6.1852730701e-05,0.000135525813367
4,-0.0001872413006,-0.000263199786425,-0.000576698307882,-5.38094192738e-05,-7.56383747344e-05,-0.000165731603786,2.89035413017e-05,4.06288883551e-05,8.90221511339e-05
5,-0.000122992239976,-0.000172886703894,-0.000378812881824,-3.53455193223e-05,-4.96841941757e-05,-0.000108863274924,1.89857220418e-05,2.6687691073e-05,5.84755272493e-05
6,-8.07892865825e-05,-0.00011356320911,-0.000248828889342,-2.32172313513e-05,-3.26358037115e-05,-7.15084652326e-05,1.2471054591e-05,1.75302077818e-05,3.84105219154e-05
7,-5.30676474207e-05,-7.45956870758e-05,-0.000163446965882,-1.52505845708e-05,-2.14373142519e-05,-4.69714015445e-05,8.19179814547e-06,1.15149783484e-05,2.52305240023e-05
8,-3.48582754211e-05,-4.89992892412e-05,-0.000107362576454,-1.00175738541e-05,-1.40814194863e-05,-3.08538654253e-05,5.38090474758e-06,7.56378521086e-06,1.65730458658e-05
9,-2.28971779303e-05,-3.21859136937e-05,-7.05227090679e-05,-6.58019274323e-06,-9.24959033668e-06,-2.02668215207e-05,3.53452751012e-06,4.96838508811e-06,1.0886252273e-05
10,-1.50403527093e-05,-2.1141797286e-05,-4.63238929106e-05,-4.32229771087e-06,-6.07573131954e-06,-1.33125638843e-05,2.32170709311e-06,3.26355782133e-06,7.15079711425e-06
11,-9.87947992146e-06,-1.38873047612e-05,-3.0428539725e-05,-2.83916569474e-06,-3.99093470344e-06,-8.74455607129e-06,1.52504791963e-06,2.143716613e-06,4.6971076994e-06
12,-6.48948368466e-06,-9.12208318539e-06,-1.99874399931e-05,-1.86494831717e-06,-2.62150496285e-06,-5.74399203251e-06,1.00175046374e-06,1.40813221902e-06,3.08536522395e-06
13,-4.26271411331e-06,-5.99197634615e-06,-1.31290479625e-05,-1.22501910761e-06,-1.72197462021e-06,-3.77302680668e-06,6.58014727717e-07,9.24952642633e-07,2.02666814865e-06
14,-2.80002732033e-06,-3.93591900042e-06,-8.62401090189e-06,-8.04672065271e-07,-1.13110470309e-06,-2.47836891196e-06,4.32226784581e-07,6.07568933907e-07,1.33124719008e-06
15,-1.8392396924e-06,-2.58536707807e-06,-5.66481014072e-06,-5.28560843342e-07,-7.42982988448e-07,-1.6279535711e-06,2.83914607743e-07,3.99090712795e-07,8.74449565049e-07
16,-1.20813201412e-06,-1.69823691179e-06,-3.7210150005e-06,-3.47193070535e-07,-4.88039453477e-07,-1.06934557517e-06,1.86493543125e-07,2.62148684948e-07,5.7439523442e-07
17,-7.93579526139e-07,-1.1155122354e-06,-2.4442041816e-06,-2.28058944861e-07,-3.20575991447e-07,-7.02415584475e-07,1.2250106433e-07,1.72196272218e-07,3.77300073683e-07
18,-5.21274543629e-07,-7.32740843567e-07,-1.60551195858e-06,-1.4980391818e-07,-2.10575119614e-07,-4.61392149337e-07,8.04666505363e-08,1.13109688769e-07,2.4783517876e-07
19,-3.42406955933e-07,-4.81311747907e-07,-1.0546044674e-06,-9.840093716e-08,-1.38319406891e-07,-3.03072312425e-07,5.28557191235e-08,7.42977854786e-08,1.6279423227e-07
