variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00699643120894,4.89500496615e-05,0.415472541847
pi,0,0.00386301689474,1.49228995291e-05,0.375849345147
i,0,0.000888043997186,7.88622140937e-07,0.702504256698
