horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00401889673888,-0.00166078979812,-0.00281192707582,0.00022402553322,0.0023028365554,-0.00079096676785,0.000164913892278,0.000279162572094,0.000472657524699
1,-0.000637005997073,-0.00107830959616,-0.00182571446005,-0.000179183371766,-0.000303317629873,-0.000513555091064,0.000107074497196,0.00018125332942,0.000306884799723
2,-0.000413592183808,-0.000700119657813,-0.00118539108582,-0.000116339316068,-0.000196936608923,-0.000333438574511,6.95208135073e-05,0.000117683288198,0.000199252683771
3,-0.000268535139847,-0.000454570317286,-0.000769645011356,-7.55362304541e-05,-0.00012786605233,-0.000216493390693,4.51381387471e-05,7.64088382013e-05,0.000129369822245
4,-0.000174353201428,-0.000295141224862,-0.000499711403765,-4.90437996718e-05,-8.30202542221e-05,-0.000140563785346,2.93070731881e-05,4.96103622245e-05,8.39966147056e-05
5,-0.00011320320635,-0.000191627872082,-0.00032445021194,-3.18429218904e-05,-5.39029905556e-05,-9.12645771198e-05,1.90283552378e-05,3.22107768941e-05,5.45369171848e-05
6,-7.350003225e-05,-0.000124419221259,-0.000210657469961,-2.0674818862e-05,-3.49978739292e-05,-5.92558247941e-05,1.2354638784e-05,2.0913657986e-05,3.54094667559e-05
7,-4.7721746715e-05,-8.07823123559e-05,-0.000136774666859,-1.3423646751e-05,-2.27232509168e-05,-3.84733363462e-05,8.02156032802e-06,1.35787190664e-05,2.29904879237e-05
8,-3.09845457181e-05,-5.24499504462e-05,-8.88043965295e-05,-8.71564066889e-06,-1.47536428434e-05,-2.49797824054e-05,5.20820003086e-06,8.81632527447e-06,1.49271531993e-05
9,-2.01174965177e-05,-3.40544510497e-05,-5.7658490597e-05,-5.65884916955e-06,-9.57917412202e-06,-1.62187527332e-05,3.38155501577e-06,5.72422118503e-06,9.69183008971e-06
10,-1.30617911852e-05,-2.21107098563e-05,-3.74362268969e-05,-3.67415031669e-06,-6.21952000831e-06,-1.05304336104e-05,2.19555974365e-06,3.71659474384e-06,6.29266473208e-06
11,-8.48069683108e-06,-1.43559351357e-05,-2.43064129804e-05,-2.38553461051e-06,-4.03817997679e-06,-6.83714918443e-06,1.42552244913e-06,2.41309272362e-06,4.08567103053e-06
12,-5.50630596682e-06,-9.32095237828e-06,-1.57815506782e-05,-1.54886841512e-06,-2.62189003382e-06,-4.43919127168e-06,9.25556345645e-07,1.56676121399e-06,2.65272479632e-06
13,-3.57510780118e-06,-6.051863039e-06,-1.02465691671e-05,-1.00564181999e-06,-1.70232812529e-06,-2.88225671475e-06,6.00940763497e-07,1.01725917021e-06,1.72234837128e-06
14,-2.32122876336e-06,-3.92932446776e-06,-6.65284304675e-06,-6.5293827432e-07,-1.10527940103e-06,-1.87137774907e-06,3.90175922764e-07,6.60481131479e-07,1.11827804986e-06
15,-1.5071162246e-06,-2.55121285354e-06,-4.31952587084e-06,-4.23936615996e-07,-7.17630482744e-07,-1.21503912605e-06,2.53331542728e-07,4.2883400594e-07,7.2607018281e-07
16,-9.78533158951e-07,-1.65643918629e-06,-2.80456094e-06,-2.75251522924e-07,-4.65939661305e-07,-7.88894748029e-07,1.64481883162e-07,2.78431276665e-07,4.7141934909e-07
17,-6.35337293525e-07,-1.07548485187e-06,-1.82093181089e-06,-1.78713982264e-07,-3.02523057754e-07,-5.1220978002e-07,1.067940044e-07,1.80778517448e-07,3.06080883031e-07
18,-4.12508736011e-07,-6.98285621459e-07,-1.18228583042e-06,-1.16034553114e-07,-1.96420712966e-07,-3.3256509744e-07,6.93386964963e-08,1.17375004569e-07,1.98730720615e-07
19,-2.67831684083e-07,-4.53379523e-07,-7.67628846098e-07,-7.5338355432e-08,-1.2753109389e-07,-2.1592626371e-07,4.50198946915e-08,7.62086772924e-08,1.29030924523e-07
