variable,e_x,e_pi,e_i,e_q,e_copper
x,2.95126900094,0.642728048419,2.91189216152,0.466964696078,93.027146093
pi,0.760480453467,41.4067241293,11.3719785912,9.71863045611,36.7421863699
i,0.367710615684,0.758567530157,3.43670522935,1.27349524927,94.1635213755
q,0.00497270719656,0.0102584316454,0.0464760278803,34.9081384372,65.0301543961
copper,0,0,0,0,100
