horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00397246074923,-0.00124524912953,-0.0033131437328,0.000200538234247,0.00240708977263,-0.000965568830264,0.000149405131449,0.000181060343675,0.000481734079294
1,-0.000679967282475,-0.000824035350449,-0.00219245088569,-0.000198166836849,-0.000240153435407,-0.000638958767816,9.88678545786e-05,0.000119815481267,0.000318784331135
2,-0.000449963838256,-0.000545299926486,-0.00145083982883,-0.000131135589641,-0.000158919942696,-0.000422826725732,6.54251468753e-05,7.92870998695e-05,0.000210953416304
3,-0.000297760584893,-0.000360848608817,-0.000960083631814,-8.67781064875e-05,-0.0001051642178,-0.000279802780709,4.32946569124e-05,5.24677123458e-05,0.000139597023769
4,-0.000197041091701,-0.000238789173005,-0.000635328974131,-5.74248362797e-05,-6.95917234665e-05,-0.000185157633914,2.86499519938e-05,3.47201605725e-05,9.23774043883e-05
5,-0.000130390635257,-0.000158017151102,-0.000420424733841,-3.80005044501e-05,-4.60518613305e-05,-0.000122526835902,1.89589156673e-05,2.29758359243e-05,6.11301345196e-05
6,-8.62851378661e-05,-0.000104566801451,-0.00027821327851,-2.51465817234e-05,-3.04745137261e-05,-8.10813208116e-05,1.25459366689e-05,1.52041070006e-05,4.04524609793e-05
7,-5.70986175648e-05,-6.91963871614e-05,-0.000184105791379,-1.66405836324e-05,-2.01663072895e-05,-5.36550261513e-05,8.30219036053e-06,1.00612169432e-05,2.67691476903e-05
8,-3.77846313797e-05,-4.57902501533e-05,-0.000121830786082,-1.10117958246e-05,-1.3344920065e-05,-3.55058576067e-05,5.49391939412e-06,6.65794356574e-06,1.77143058968e-05
9,-2.50037291512e-05,-3.03013942651e-05,-8.0620714461e-05,-7.28698283437e-06,-8.83091232241e-06,-2.34957657244e-05,3.63556471224e-06,4.40584998565e-06,1.172232441e-05
10,-1.65460518904e-05,-2.00517466346e-05,-5.33502229545e-05,-4.8221125486e-06,-5.84379764483e-06,-1.55481670965e-05,2.40581082989e-06,2.91554199947e-06,7.75717041208e-06
11,-1.09492400715e-05,-1.32691103116e-05,-3.53041561132e-05,-3.191000989e-06,-3.86709432355e-06,-1.02888964291e-05,1.59202935646e-06,1.92934057636e-06,5.13325605891e-06
12,-7.24558697973e-06,-8.78074572106e-06,-2.33622910992e-05,-2.11162373528e-06,-2.5590240142e-06,-6.80860895516e-06,1.05351486507e-06,1.27672832711e-06,3.39689814282e-06
13,-4.79471911641e-06,-5.8106002292e-06,-1.54598411488e-05,-1.39735299825e-06,-1.69341716476e-06,-4.50555180757e-06,6.97156472913e-07,8.44866500612e-07,2.24787481089e-06
14,-3.17287356698e-06,-3.84512615399e-06,-1.02304473192e-05,-9.24689076514e-07,-1.1206075746e-06,-2.9815190187e-06,4.61338670994e-07,5.59084801911e-07,1.48751624364e-06
15,-2.09962803402e-06,-2.54448672372e-06,-6.76993064439e-06,-6.1190686197e-07,-7.4155462835e-07,-1.97300043115e-06,3.05287804997e-07,3.6997065868e-07,9.84354006006e-07
16,-1.38941492252e-06,-1.68379720923e-06,-4.47995669201e-06,-4.04925306501e-07,-4.90718855816e-07,-1.30561994637e-06,2.02022179669e-07,2.44825628986e-07,6.51389733242e-07
17,-9.19436107559e-07,-1.11424163285e-06,-2.96458162078e-06,-2.67956635291e-07,-3.24729947394e-07,-8.63985337991e-07,1.33686837175e-07,1.62011735801e-07,4.31052834635e-07
18,-6.08430744612e-07,-7.37342008627e-07,-1.96179222043e-06,-1.77318525772e-07,-2.1488788842e-07,-5.71736565712e-07,8.84663776185e-08,1.07210191377e-07,2.85246353703e-07
19,-4.02625008901e-07,-4.87931182661e-07,-1.29820298729e-06,-1.17339358094e-07,-1.4220063459e-07,-3.78342879444e-07,5.85420385007e-08,7.09456329075e-08,1.88759882231e-07
