variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00623620470891,3.88902491714e-05,0.323773103066
pi,0,0.00276864961892,7.66542071234e-06,0.0774808384699
i,0.00741707177773,0.000714769906449,5.10896019166e-07,0.661743365972
