period,e_x,e_pi,e_i
1,0.02140503225,-0.001726649539,0.0003853642986
2,0.002531211257,0.001560110502,-0.002494272631
3,0.01670057032,0.004852771823,0.002793474871
4,0.03419245151,-0.004512303218,0.004655005265
5,0.01488133669,0.004139602809,-0.000761585996
6,-0.01006094482,6.633617912e-05,-0.002145461987
7,-0.03166745922,0.007073599083,-0.003152322954
8,-0.03119293183,-0.006372232872,0.0001836233784
9,-0.0384358016,0.009894665082,-0.001861284054
10,-0.03469012411,-0.01492560886,0.001679777445
11,-0.04089338335,0.0002842859227,0.0009530573049
12,-0.04214351575,-0.01047072804,0.00206258149
13,-0.05450351222,-0.001091683293,-0.001140692785
14,-0.04977115246,0.002847239915,-0.0007895364911
15,-0.03891100375,-0.005847158583,-0.0001272273049
16,-0.02944637664,-0.007037692311,0.001012764571
17,-0.02351461389,-0.004396248335,0.00148854754
18,-0.01678746804,0.006512288035,-4.717618917e-05
19,-0.003549864381,0.004335971788,-0.000374794493
20,0.01510700542,-0.009614226528,0.002212378004
21,0.01960013553,0.001773810603,0.0005219745363
22,0.02713212841,0.005750728406,-0.0003765156924
23,0.0373465875,-0.001357404298,3.711521118e-05
24,0.04549590411,-0.008190936048,0.0007922635113
25,0.0406219892,0.002130166477,-0.0008808206099
26,0.03454942341,0.01073767052,-0.002270932533
27,0.03647708637,0.01464015223,-0.002637142055
28,0.05083549145,-0.001756524427,-0.0006604300046
29,0.06172347479,0.001850314209,-0.0001657107314
30,0.05270493492,0.01786560378,-0.002802566296
31,0.05648857614,0.01401758766,0.0002285253408
32,0.05785775335,-0.009395336893,0.003895695218
33,-0.001405595967,-0.003078105365,-0.003174300524
34,-0.08106467956,-0.003137597228,-0.007286850674
35,-0.1009998818,-0.003627501119,-0.0006227772167
36,-0.09852459505,-0.01227584187,0.00254769539
37,-0.09839190678,0.003242980846,0.0005104769242
38,-0.08445698633,-0.003397553183,0.0002968500794
39,-0.05362423307,-0.002259309866,0.002596943779
40,-0.02764624004,-0.00513171576,0.003225985692
41,-0.01842721511,0.005007759915,0.0007538819571
42,0.005579790902,0.0005533085744,0.003031081353
43,0.01665771097,0.001846462484,0.001305525094
44,0.02321562536,0.006058729288,-0.0007814970435
45,0.03120206535,-0.002141440953,-0.0008090112488
46,0.03994942486,-0.006725437973,0.000396753308
47,0.03880467203,0.005023821662,-0.0009690987507
48,0.03997591894,-0.005670636766,0.0001073410222
49,0.03764287744,0.001931018666,-0.0005607809272
50,0.03833797425,-0.004513473161,0.0001613152347
51,0.03438076904,0.004281478409,-0.0008251731591
52,0.0260410549,0.001541659323,-0.001588757233
53,0.0159247364,0.003771966632,-0.002092806439
54,0.0085537215,-0.001628493558,-0.001431677593
55,-0.002033255152,0.001974411016,-0.00179211891
56,-0.01004232276,-0.005137128596,-0.001541839103
57,-0.01132282759,0.0008929069887,-0.000946571758
58,-0.01200008401,0.0005913757474,-0.001062504795
59,-0.01549617162,0.00226069565,-0.001320919678
60,-0.009152437063,-0.00712878703,0.0006811629662
61,-0.006898526182,0.003347500257,-0.0001686750113
62,-0.009199618953,-0.001460667475,-0.0003083092122
63,-0.01150200097,-0.003813189916,0.0003865884816
64,-0.01594273074,-0.003898864945,0.0009036961528
65,-0.02599420744,0.004277383613,-0.0007240156975
66,-0.02851116342,-0.009205956027,-0.0003780332599
67,-0.02307869195,-0.003652516814,-6.170713683e-05
68,-0.0172671744,-0.0008175906863,-0.0006193082813
69,-0.01095715792,-0.004044613182,-0.0007036051684
70,-0.007549928988,-0.003911480654,-0.0008164989704
71,-0.00794214716,-0.002462360518,-0.001051457753
72,-0.001571062408,-0.007323033733,7.353226574e-05
73,0.001952218325,-0.002720570306,-0.000211015105
74,0.0008406121539,-0.001666872989,-0.001159330963
75,-0.01703366506,-0.006485081418,-0.001393722293
76,-0.05470258283,0.0004920220627,-0.001382423444
77,-0.09352232086,0.002531925946,0.0001983776888
78,-0.1572894453,-0.008104603326,0.001212491028
79,-0.1559119847,0.00417080576,0.002530398202
80,-0.1184287195,-0.001062459378,0.001172221629
81,-0.08221385856,-0.0009028750022,-0.0005190129278
82,-0.05532340355,-0.007630364649,-0.0007849775158
83,-0.02986406098,0.005173803902,-0.002227931506
84,0.009548853492,0.003462343226,0.0008009498374
85,0.03929179249,0.01267550181,0.001308808356
86,0.0748879564,0.01566816303,0.00301609189
87,0.09498454984,0.01899497326,0.001648978842
88,0.1121522725,0.008906014296,0.002616496898
89,0.1104777197,0.01519941704,2.979434827e-05
90,0.11414464,0.003577283863,0.001766559743
91,0.09936225446,0.01507249654,-0.001446090147
92,0.080790438,0.005098211455,-0.001952069903
93,0.05583164267,0.01294866094,-0.003839462678
94,0.03637697454,-0.0002301557761,-0.002524533488
95,0.02951239473,0.004998132089,-0.001679301156
96,0.02792825847,0.00186796266,-0.001351025818
97,0.02412386264,0.008939458295,-0.002338318135
98,0.02742933564,-0.00908727496,0.0006418271125
99,0.0167537196,0.007452986263,-0.001113431818
100,0.0134206359,-0.005741906001,0.0005175352
101,0.002385295318,0.007870535891,-0.001093938076
