horizon,x_e_x,x_e_pi,x_e_i,pi_e_x,pi_e_pi,pi_e_i,i_e_x,i_e_pi,i_e_i
0,0.00398767636056,-0.00135958132424,-0.00316517169716,0.00020774712284,0.00237749552983,-0.000913769568503,0.000153309969663,0.000205899935013,0.000479345100679
1,-0.000666576343706,-0.00089523222888,-0.00208414433378,-0.000192437326073,-0.00025844916035,-0.000601682262699,0.000100948743119,0.000135577221062,0.000315630389467
2,-0.000438914991883,-0.000589476134553,-0.00137232921927,-0.000126712608704,-0.000170178873265,-0.000396184725039,6.64708809202e-05,8.92724073449e-05,0.000207830522549
3,-0.000289008711333,-0.00038814745716,-0.000903626229501,-8.34353996296e-05,-0.000112056270048,-0.000260872467222,4.3768529194e-05,5.87824610267e-05,0.000136848439011
4,-0.000190301167131,-0.000255580234159,-0.000595003262465,-5.49390150085e-05,-7.37847619751e-05,-0.000171774528026,2.8819900102e-05,3.87059991672e-05,9.01094556755e-05
5,-0.000125306029857,-0.000168289795251,-0.000391786859196,-3.61752371716e-05,-4.85844397407e-05,-0.000113106947593,1.89768003902e-05,2.54864179786e-05,5.93336252927e-05
6,-8.25092213322e-05,-0.000110812384529,-0.000257976641007,-2.38200081348e-05,-3.19909927434e-05,-7.44765928966e-05,1.24954962291e-05,1.67818300871e-05,3.90689197263e-05
7,-5.43291620731e-05,-7.29657110024e-05,-0.000169867737376,-1.568456303e-05,-2.1064843439e-05,-4.90399839048e-05,8.22780567864e-06,1.10501923539e-05,2.57253872666e-05
8,-3.57736723715e-05,-4.80451260456e-05,-0.000111851398982,-1.0327684023e-05,-1.3870392603e-05,-3.22909511277e-05,5.41769490735e-06,7.27612843314e-06,1.69391822106e-05
9,-2.35555930942e-05,-3.16358753314e-05,-7.36498622245e-05,-6.80038436994e-06,-9.13312228109e-06,-2.12623545464e-05,3.56734459411e-06,4.79105189125e-06,1.11538027004e-05
10,-1.55104558531e-05,-2.08310122245e-05,-4.84956134218e-05,-4.47779264704e-06,-6.01381121566e-06,-1.40004461023e-05,2.34895978286e-06,3.15472416898e-06,7.34435187798e-06
11,-1.02130411154e-05,-1.37164237041e-05,-3.19325040145e-05,-2.94845495476e-06,-3.95986435137e-06,-9.21875752927e-06,1.54670004983e-06,2.07726503662e-06,4.83597441666e-06
12,-6.72489640626e-06,-9.03173965834e-06,-2.10263308512e-05,-1.94144465935e-06,-2.60741900916e-06,-6.07019874668e-06,1.01844274287e-06,1.36779946558e-06,3.18430393139e-06
13,-4.4280867142e-06,-5.94705464162e-06,-1.3845033539e-05,-1.27836694918e-06,-1.71688555114e-06,-3.99699338085e-06,6.70605538947e-07,9.00643560187e-07,2.09674217724e-06
14,-2.91572550177e-06,-3.9159077042e-06,-9.11642430871e-06,-8.41755673482e-07,-1.13050337723e-06,-2.63186705301e-06,4.41568062629e-07,5.9303928896e-07,1.38062441668e-06
15,-1.91989356812e-06,-2.57847524058e-06,-6.00281624039e-06,-5.54263871022e-07,-7.44393174657e-07,-1.73298365163e-06,2.90755656804e-07,3.90493657865e-07,9.09088299283e-07
16,-1.26417638103e-06,-1.6978271881e-06,-3.95262458127e-06,-3.64961530285e-07,-4.90154394613e-07,-1.14110335984e-06,1.91451463813e-07,2.57125117462e-07,5.98599826214e-07
17,-8.32411727867e-07,-1.11795417512e-06,-2.60265189785e-06,-2.40313189352e-07,-3.22747895518e-07,-7.51372857212e-07,1.26063456165e-07,1.69307041735e-07,3.94155058673e-07
18,-5.48111240715e-07,-7.36130005712e-07,-1.71374659092e-06,-1.58237030986e-07,-2.12517127676e-07,-4.94750248247e-07,8.30079575458e-08,1.11482202378e-07,2.59536009658e-07
19,-3.60910258879e-07,-4.84713414349e-07,-1.12843649216e-06,-1.0419302429e-07,-1.39934388986e-07,-3.25774089111e-07,5.46575607682e-08,7.34067604011e-08,1.70894521908e-07
