variable,mean,std_dev,variance,autocorrelation_1
x,0,0.00607491822793,3.6904631476e-05,0.300971584118
pi,0,0.00267341604754,7.14715336327e-06,0.0466468690188
i,0.00985340654897,0.000730036731814,5.32953629798e-07,0.656498276888
